"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"/Users/admin/Desktop/wheelCasino/chatManager.js", "JavaScript", 0, 54, 1, 19, 74
"/Users/admin/Desktop/wheelCasino/config.js", "JavaScript", 0, 8, 0, 3, 11
"/Users/admin/Desktop/wheelCasino/dbManager.js", "JavaScript", 0, 65, 1, 11, 77
"/Users/admin/Desktop/wheelCasino/dbModels.js", "JavaScript", 0, 40, 0, 11, 51
"/Users/admin/Desktop/wheelCasino/gameManager.js", "JavaScript", 0, 8, 0, 3, 11
"/Users/admin/Desktop/wheelCasino/keyboardManager.js", "JavaScript", 0, 41, 0, 14, 55
"/Users/admin/Desktop/wheelCasino/lsManager.js", "JavaScript", 0, 36, 0, 10, 46
"/Users/admin/Desktop/wheelCasino/package.json", "JSON", 15, 0, 0, 1, 16
"/Users/admin/Desktop/wheelCasino/qiwiManager.js", "JavaScript", 0, 40, 4, 12, 56
"/Users/admin/Desktop/wheelCasino/tools.js", "JavaScript", 0, 6, 0, 5, 11
"/Users/admin/Desktop/wheelCasino/vkCoinManager.js", "JavaScript", 0, 35, 0, 8, 43
"/Users/admin/Desktop/wheelCasino/wheel.js", "JavaScript", 0, 86, 0, 29, 115
"Total", "-", 15, 419, 6, 126, 566